FullName,Legislative,PartyAbbreviation,SimplePartyAbbreviation,SimplePartyId,Active,FirstName,LastName,GenderAsString,CantonName,CantonAbbreviation,CouncilName,ParlGroupName,ParlGroupAbbreviation,PartyName,MaritalStatusText,BirthPlace_City,BirthPlace_Canton,Mandates,DateJoining,DateLeaving,Citizenship,DateOfBirth,DateOfDeath,Image
Abate Fabio,0.0,PLR,PLR,3,False,Fabio,Abate,m,Tessin,TI,Conseil national,Groupe radical-libéral,RL,Parti radical-démocratique suisse,,Locarno,Tessin,Incarichi esecutivi presso il comune di Locarno: municipale dal 1996 al 2001,2007-12-03,2011-12-04,Cabbio (TI),1966-01-04,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2565.jpg
Addor Jean-Luc,2.0,UDC,UDC,1,True,Jean-Luc,Addor,m,Valais,VS,Conseil national,Groupe de l'Union démocratique du Centre,V,Union Démocratique du Centre,,Lausanne,Vaud,Député au Grand Conseil: 2005-2015; Conseiller communal à Savièse: 2009-2015,2015-11-30,2019-12-01,"Ste-Croix (VD),Savièse (VS)",1964-04-22,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3055.jpg
Aebi Andreas,0.0,UDC,UDC,1,False,Andreas,Aebi,m,Berne,BE,Conseil national,Groupe de l'Union démocratique du Centre,V,Union Démocratique du Centre,,Burgdorf,Berne,Legislative der Gemeinde: seit Januar 2000; Gemeindepräsident von Alchenstorf: von 1998 bis 2008,2007-12-03,2011-12-04,Wynigen (BE),1958-11-26,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2670.jpg
Aebi Andreas,1.0,UDC,UDC,1,False,Andreas,Aebi,m,Berne,BE,Conseil national,Groupe de l'Union démocratique du Centre,V,Union Démocratique du Centre,,Burgdorf,Berne,Legislative der Gemeinde: seit Januar 2000; Gemeindepräsident von Alchenstorf: von 1998 bis 2008,2011-12-05,2015-11-29,Wynigen (BE),1958-11-26,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2670.jpg
Aebi Andreas,2.0,UDC,UDC,1,True,Andreas,Aebi,m,Berne,BE,Conseil national,Groupe de l'Union démocratique du Centre,V,Union Démocratique du Centre,,Burgdorf,Berne,Legislative der Gemeinde: seit Januar 2000; Gemeindepräsident von Alchenstorf: von 1998 bis 2008,2015-11-30,2019-12-01,Wynigen (BE),1958-11-26,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2670.jpg
Aebischer Matthias,1.0,PSS,PSS,2,False,Matthias,Aebischer,m,Berne,BE,Conseil national,Groupe socialiste,S,Parti socialiste suisse,,Schwarzenburg,Berne,,2011-12-05,2015-11-29,Guggisberg (BE),1967-10-18,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2760.jpg
Aebischer Matthias,2.0,PSS,PSS,2,True,Matthias,Aebischer,m,Berne,BE,Conseil national,Groupe socialiste,S,Parti socialiste suisse,,Schwarzenburg,Berne,,2015-11-30,2019-12-01,Guggisberg (BE),1967-10-18,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2760.jpg
Aeschbacher Ruedi,0.0,PEV,PEV,8,False,Ruedi,Aeschbacher,m,Zurich,ZH,Conseil national,Groupe PDC/PEV/PVL,CEg,Parti évangélique suisse,,St. Gall,St-Gall,"Legislative der Gemeinde: Gemeinderat Stadt Zürich September 1977 bis April 1978; Exekutive der Gemeinde: Stadtrat Stadt Zürich April 1978 bis April 1994; Legislative des Kantons: Kantonsrat Zürich, Mai 1995 bis März 2000",2007-12-03,2010-05-30,"Zurich (ZH),Trachselwald (BE)",1941-09-15,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2473.jpg
Aeschi Thomas,1.0,UDC,UDC,1,False,Thomas,Aeschi,m,Zoug,ZG,Conseil national,Groupe de l'Union démocratique du Centre,V,Union Démocratique du Centre,,Zoug,Zoug,Legislative des Kantons (Kantonsrat): von 2010 bis 2012,2011-12-05,2015-11-29,"Himmelried (SO),Baar (ZG),Bâle (BS)",1979-01-13,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2758.jpg
Aeschi Thomas,2.0,UDC,UDC,1,True,Thomas,Aeschi,m,Zoug,ZG,Conseil national,Groupe de l'Union démocratique du Centre,V,Union Démocratique du Centre,,Zoug,Zoug,Legislative des Kantons (Kantonsrat): von 2010 bis 2012,2015-11-30,2019-12-01,"Himmelried (SO),Baar (ZG),Bâle (BS)",1979-01-13,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2758.jpg
